"ntd_id","Agency","City","State","max_organization_type","max_reporter_type","report_year","max_uace_code","max_uza_name","max_primary_uza_population","max_agency_voms","sum_vehicle_operations","sum_vehicle_maintenance","sum_facility_maintenance","sum_general_administration","sum_reduced_reporter_expenses","Total","sum_separate_report_amount"
"10066","Green Mountain Transit Authority","Burlington","VT","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","11755","Burlington, VT","118032","130","18727560","4011220","601244","5204646","0","28544670","0"
"10069","Regional Transportation Program, Inc.","Westbrook","ME","Private-Non-Profit Corporation","Reduced Reporter","2024","71263","Portland, ME","205356","26","0","0","0","0","3295632","3295632","0"
"10086","Cooperative Alliance for Seacoast Transportation","Dover","NH","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","24607","Dover--Rochester, NH--ME","72391","24","4777464","738135","64318","1604005","0","7183922","0"
"10087","City of Nashua, dba: Nashua Transit System","Nashua","NH","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","61165","Nashua, NH--MA","242984","14","2353005","469981","129288","1111906","0","4064180","0"
"10088","Casco Bay Island Transit District, dba: Casco Bay Lines","Portland","ME","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71263","Portland, ME","205356","4","4857094","1756068","419245","2402583","0","9434990","0"
"10096","City of Bangor, dba: Community Connector","Bangor","ME","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","04951","Bangor, ME","61539","20","0","0","0","0","4756083","4756083","0"
"10098","Western Maine Transportation Services, Inc.","Auburn","ME","Private-Non-Profit Corporation","Full Reporter","2024","49339","Lewiston, ME","60743","42","2818924","457085","21349","392510","0","3689868","1942387"
"10099","York County Community Action Corporation","Sanford","ME","Private-Non-Profit Corporation","Reduced Reporter","2024","71506","Portsmouth, NH--ME","95090","14","0","0","0","0","2502014","2502014","0"
"10102","Connecticut Department of Transportation","Newington","CT","State Government Unit or Department of Transportation","Full Reporter","2024","37243","Hartford, CT","977158","29","11349112","10135966","6201277","3858481","0","31544836","23538483"
"10105","Cape Cod Regional Transit Authority","Hyannis","MA","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","05167","Barnstable Town, MA","303269","127","14381272","3799382","1021706","2455993","0","21658353","0"
"10107","Milford Transit District","Milford","CT","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","10162","Bridgeport--Stamford, CT--NY","916408","11","1646924","365790","96859","592602","0","2702175","0"
"10112","City of South Portland, dba: City of South Portland Bus Service","South Portland","ME","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","71263","Portland, ME","205356","3","0","0","0","0","1768839","1768839","0"
"10114","Biddeford-Saco-Old Orchard Beach Transit Committee Shuttle Bus, dba: BSOOB Transit","Saco","ME","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","71263","Portland, ME","205356","12","0","0","0","0","3712652","3712652","0"
"10115","Northern New England Passenger Rail Authority, dba: Amtrak Downeaster","Portland","ME","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","71263","Portland, ME","205356","21","14112257","8747757","1772683","2175356","0","26808053","0"
"10118","MetroWest Regional Transit Authority","Framingham","MA","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","09271","Boston, MA--NH","4382009","106","8116769","1663729","771473","4298397","0","14850368","0"
"10119","University Of New Hampshire, dba: Wildcat Transit","Durham","NH","University","Reduced Reporter","2024","24607","Dover--Rochester, NH--ME","72391","15","0","0","0","0","2396645","2396645","0"
"10122","Jalbert Leasing, Inc., dba: C&J Bus Lines","Portsmouth","NH","Private-For-Profit Corporation","Reduced Reporter","2024","71506","Portsmouth, NH--ME","95090","14","0","0","0","0","16911641","16911641","0"
"10128","Connecticut Department of Transportation- CTTransit Waterbury- NET, dba: CTTransit","Watertown","CT","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2024","92485","Waterbury, CT","199317","62","13237347","4419600","1761689","4119847","0","23538483","0"
"10130","Connecticut Department of Transportation -CTTRANSIT New Britain, dba: CTTRANSIT","Berlin","CT","Private Provider Reporting on Behalf of a Public Entity","Full Reporter","2024","37243","Hartford, CT","977158","18","7186089","1669789","159304","931370","0","9946552","0"
"10131","Northwestern CT Transit District","Torrington","CT","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"12","0","0","0","0","1784622","1784622","0"
"10133","Boston Express Bus, Inc.","Concord","NH","Private-For-Profit Corporation","Reduced Reporter","2024","09271","Boston, MA--NH","4382009","17","0","0","0","0","6949527","6949527","0"
