"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","modecd","mode_name","typeofservicecd","mode_voms","form_type","guideway","guideway_questionable","stations","stations_questionable","administrative_buildings","administrative_buildings_1","maintenance_buildings","maintenance_buildings_1","passenger_vehicles","passenger_vehicles_1","other_vehicles","other_vehicles_questionable","fare_collection_equipment","fare_collection_equipment_1","communication_information","communication_information_1","other","other_questionable","reduced_reporter","reduced_reporter_questionable","total","total_questionable"
"MTA Long Island Rail Road","New York","NY","20100","Subsidiary Unit of a Transit Agency, Reporting Separately","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","1082","CR","Commuter Rail","DO","1082","Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service","364999847",,"219974718",,"602793",,"74154193",,"49284122",,"2636272",,"0",,"84102385",,"5796092",,"0",,"801550422",
"Regional Transit Service","Rochester","NY","20113","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","75664","Rochester, NY","704327","219","DR","Demand Response","DO","65","Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service","0",,"0",,"0",,"35698",,"928656",,"0",,"0",,"247489",,"0",,"0",,"1211843",
"Regional Transit Service","Rochester","NY","20113","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","75664","Rochester, NY","704327","219","DR","Demand Response","DO","65","Uses of Capital (F-20) - Expansion of Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Regional Transit Service","Rochester","NY","20113","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","75664","Rochester, NY","704327","219","MB","Bus","DO","154","Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service","0",,"836556",,"0",,"423516",,"17978985",,"275464",,"0",,"696492",,"0",,"0",,"20211013",
"Regional Transit Service","Rochester","NY","20113","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","75664","Rochester, NY","704327","219","MB","Bus","DO","154","Uses of Capital (F-20) - Expansion of Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"City of Glens Falls, dba: Greater Glens Falls Transit","Queensbury","NY","20120","City, County or Local Government Unit or Department of Transportation","Building Reporter","2024","33598","Glens Falls, NY","71191",,"MB","Bus","DO",,"Uses of Capital (F-20) - Expansion of Service","0",,"0",,"0",,"490321",,"860883",,"0",,"0",,"0",,"0",,"0",,"1351204",
"City of Glens Falls, dba: Greater Glens Falls Transit","Queensbury","NY","20120","City, County or Local Government Unit or Department of Transportation","Building Reporter","2024","33598","Glens Falls, NY","71191",,"MB","Bus","DO",,"Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Academy Lines, Inc., dba: Academy","Hoboken","NJ","20122","Private-For-Profit Corporation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","80","CB","Commuter Bus","DO","80","Uses of Capital (F-20) - Expansion of Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Academy Lines, Inc., dba: Academy","Hoboken","NJ","20122","Private-For-Profit Corporation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","80","CB","Commuter Bus","DO","80","Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
"Shortline Transit LLC, dba: Short Line","Mahwah","NJ","20126","Private-For-Profit Corporation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","76","CB","Commuter Bus","DO","76","Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service","0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",,"0",
